id,sex,country,city,bdate
88520427,Male,Польша,Unfiled_city,1997
88512882,Male,Россия,Нижний Новгород,1997
88506208,Male,Азербайджан,Гянджа,Unfiled_bdate
88444969,Female,Россия,Москва,1991
88433197,Male,Unfiled_country,Unfiled_city,2002
88395750,Male,Россия,Unfiled_city,Unfiled_bdate
88294210,Female,Россия,Омск,Unfiled_bdate
88276176,Male,Россия,Волгодонск,1990
88204552,Male,Россия,Unfiled_city,1996
88203385,Male,Россия,Казань,Unfiled_bdate
88179255,Male,Россия,Санкт-Петербург,Unfiled_bdate
88165891,Male,Россия,Альметьевск,Unfiled_bdate
88105409,Female,Россия,Москва,Unfiled_bdate
88067478,Male,Россия,Барнаул,1996
88023691,Male,Россия,Омск,Unfiled_bdate
87949689,Male,Россия,Астрахань,1993
87942611,Male,Россия,Новосибирск,Unfiled_bdate
87927560,Male,Россия,Москва,Unfiled_bdate
87895582,Male,Россия,Санкт-Петербург,1997
87869906,Male,Россия,Старый Оскол,Unfiled_bdate
87838306,Male,Unfiled_country,Unfiled_city,1996
87791687,Male,Россия,Челябинск,1999
87690184,Male,Россия,Санкт-Петербург,Unfiled_bdate
87686139,Female,Россия,Королёв,Unfiled_bdate
87594645,Male,Россия,Санкт-Петербург,1996
87579904,Male,Россия,Unfiled_city,Unfiled_bdate
87562230,Male,Россия,Курган,1996
87527106,Male,Россия,Белоозёрский,1992
87500801,Male,Россия,Челябинск,Unfiled_bdate
87487483,Male,Россия,Уфа,2002
87480478,Male,Испания,Barcelona,Unfiled_bdate
87473322,Male,Россия,Санкт-Петербург,Unfiled_bdate
87402915,Male,Россия,Москва,Unfiled_bdate
87385484,Male,Россия,Нижний Тагил,Unfiled_bdate
87369174,Male,Россия,Москва,1997
87347809,Male,Россия,Липецк,1995
87326524,Male,Украина,Радушное,2000
87288685,Male,Россия,Маркс,Unfiled_bdate
87277417,Female,Россия,Уфа,Unfiled_bdate
87207806,Male,Россия,Москва,2001
87188191,Male,Россия,Черная Холуница,1997
87137357,Male,Россия,Unfiled_city,Unfiled_bdate
87007623,Female,Россия,Санкт-Петербург,1997
86989786,Male,Россия,Unfiled_city,Unfiled_bdate
86940634,Male,Россия,Москва,1997
86837593,Male,Беларусь,Гомель,Unfiled_bdate
86825165,Male,Россия,Unfiled_city,Unfiled_bdate
86772901,Male,Россия,Тула,1998
86709989,Male,Россия,Нижний Тагил,Unfiled_bdate
86703513,Male,Россия,Владимир,Unfiled_bdate
86694102,Male,Россия,Санкт-Петербург,1997
86688559,Female,Россия,Unfiled_city,1991
86672585,Male,Россия,Москва,Unfiled_bdate
86661387,Male,Россия,Красноярск,1998
86509813,Male,Россия,Астрахань,1991
86496600,Male,Россия,Unfiled_city,1995
86474126,Male,Россия,Unfiled_city,Unfiled_bdate
86405168,Male,Россия,Воронеж,1993
86383899,Female,Россия,Челябинск,1997
86338335,Male,Россия,Санкт-Петербург,Unfiled_bdate
86331105,Female,Unfiled_country,Unfiled_city,Unfiled_bdate
86320496,Male,Украина,Киев,1995
86303379,Male,Россия,Москва,1998
86298159,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
86201472,Male,Россия,Ульяновск,1997
86201102,Male,Украина,Unfiled_city,Unfiled_bdate
86200754,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
86145647,Male,Россия,Липецк,1984
86083614,Male,Россия,Таганрог,1998
86070480,Male,Россия,Ставрополь,Unfiled_bdate
86021224,Male,США,Boston,Unfiled_bdate
85970449,Male,Россия,Омск,1998
85953823,Male,Россия,Москва,Unfiled_bdate
85948546,Male,Молдова,Тирасполь,Unfiled_bdate
85945856,Male,Россия,Вологда,Unfiled_bdate
85939718,Female,Россия,Рязань (деревня),1917
85934787,Male,Россия,Петрозаводск,1998
85909583,Male,Россия,Нижний Новгород,Unfiled_bdate
85854453,Male,Россия,Unfiled_city,2003
85794949,Male,Россия,Москва,Unfiled_bdate
85794228,Male,Россия,Коломна,1995
85733393,Female,Unfiled_country,Unfiled_city,Unfiled_bdate
85726196,Male,Россия,Красноярск,Unfiled_bdate
85702416,Male,Россия,Тула,Unfiled_bdate
85695259,Male,Россия,Ставрополь,1998
85667241,Male,Россия,Санкт-Петербург,Unfiled_bdate
85652768,Male,Россия,Тверь,Unfiled_bdate
85604462,Male,Россия,Калуга,Unfiled_bdate
85603370,Female,Unfiled_country,Unfiled_city,1995
85551896,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
85526001,Male,Россия,Пермь,Unfiled_bdate
85520927,Male,Россия,Ленинск-Кузнецкий,1989
85519704,Male,Россия,Нижний Новгород,2000
85498396,Male,Unfiled_country,Unfiled_city,1994
85486376,Male,Россия,Unfiled_city,2000
85470796,Male,Россия,Краснодар,1996
85461034,Male,Россия,Пенза,Unfiled_bdate
85411657,Male,Россия,Минеральные Воды,Unfiled_bdate
85401273,Male,США,New York City,Unfiled_bdate
85302733,Male,Россия,Москва,1997
85298864,Male,Россия,Екатеринбург,1997
85285274,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
85225648,Male,Россия,Unfiled_city,1998
85219860,Male,Россия,Ижевск,Unfiled_bdate
85189382,Male,Россия,Unfiled_city,Unfiled_bdate
85187299,Male,Беларусь,Минск,Unfiled_bdate
85185902,Male,Россия,Unfiled_city,Unfiled_bdate
85108981,Male,Россия,Подольск,1995
85081472,Male,Россия,Москва,Unfiled_bdate
85074921,Male,Латвия,Rīga,1995
85065932,Male,Россия,Рубцовск,1993
