id,sex,country,city,bdate,years,range_years
13112952,Male,Россия,Unfiled_city,1991,30,Старше 27
13013197,Male,Россия,Москва,1995,26,23-27
12992257,Male,Россия,Севастополь,1995,26,23-27
12979725,Male,Россия,Омск,1988,33,Старше 27
12958315,Male,Россия,Ульяновск,1991,30,Старше 27
12946673,Female,Россия,Воронеж,1991,30,Старше 27
12937178,Male,Россия,Первоуральск,1991,30,Старше 27
12930083,Male,Россия,Москва,1992,29,Старше 27
12917570,Male,Россия,Старая Купавна,1986,35,Старше 27
12910280,Male,Россия,Ульяновск,1986,35,Старше 27
12879516,Male,Россия,Тюмень,1993,28,Старше 27
12870610,Male,Россия,Москва,1994,27,23-27
12868281,Male,Россия,Липецк,1988,33,Старше 27
12867844,Male,Россия,Новосибирск,1993,28,Старше 27
12840162,Male,Россия,Заполярный,1988,33,Старше 27
12830469,Male,Россия,Тверь,1992,29,Старше 27
12805420,Male,Россия,Кемерово,1984,37,Старше 27
12802212,Male,Россия,Краснодар,1993,28,Старше 27
12788496,Male,Россия,Москва,1994,27,23-27
12746450,Male,Россия,Калуга,1989,32,Старше 27
12700483,Female,Россия,Санкт-Петербург,1993,28,Старше 27
12690494,Male,Россия,Дмитров,1987,34,Старше 27
12681164,Male,Россия,Москва,1992,29,Старше 27
12673268,Male,Россия,Балашиха,1995,26,23-27
12670163,Male,Россия,Воронеж,1991,30,Старше 27
12670098,Female,Россия,Нижний Новгород,1993,28,Старше 27
12657994,Male,Россия,Москва,1995,26,23-27
12609354,Male,Россия,Елабуга,1994,27,23-27
12596675,Male,Россия,Москва,1995,26,23-27
12585922,Male,Россия,Санкт-Петербург,1992,29,Старше 27
12526465,Male,Россия,Пенза,1987,34,Старше 27
12512528,Male,Россия,Краснодар,1989,32,Старше 27
12508296,Male,Россия,Судогда,1990,31,Старше 27
12468646,Male,Россия,Челябинск,1987,34,Старше 27
12464270,Male,Россия,Санкт-Петербург,1988,33,Старше 27
12438842,Male,Россия,Ульяновск,1982,39,Старше 27
12411625,Male,Россия,Дубна (деревня),1990,31,Старше 27
12401094,Male,Россия,Вологда,1985,36,Старше 27
12394347,Male,Россия,Москва,1993,28,Старше 27
12387594,Male,Россия,Москва,1989,32,Старше 27
12372734,Male,Россия,Москва,1992,29,Старше 27
12346421,Female,Россия,Ухта,1985,36,Старше 27
12338627,Male,Россия,Краснодар,1991,30,Старше 27
12311490,Male,Россия,Волгоград,1993,28,Старше 27
12284344,Male,Россия,Москва,1994,27,23-27
12283339,Male,Россия,Новочеркасск,1992,29,Старше 27
12282640,Male,Россия,Тула,1992,29,Старше 27
12265226,Male,Россия,Евпатория,1985,36,Старше 27
12235266,Male,Россия,Самара,1987,34,Старше 27
12231798,Male,Россия,Москва,1994,27,23-27
12224949,Male,Россия,Москва,1982,39,Старше 27
12210639,Male,Россия,Калининград,1995,26,23-27
12203368,Male,Россия,Москва,1993,28,Старше 27
12184362,Male,Россия,Воронеж,1989,32,Старше 27
12147573,Male,Россия,Нефтекамск,1990,31,Старше 27
12140758,Male,Россия,Саратов,1990,31,Старше 27
12135419,Male,Россия,Санкт-Петербург,1993,28,Старше 27
12115941,Male,Россия,Казань,1994,27,23-27
12097699,Male,Россия,Йошкар-Ола,1992,29,Старше 27
12083687,Male,Россия,Новосибирск,1994,27,23-27
12073965,Male,Россия,Дзержинск,1990,31,Старше 27
12046072,Female,Россия,Нижнекамск,1989,32,Старше 27
12037797,Male,Россия,Воронеж,1992,29,Старше 27
12035750,Male,Россия,Череповец,1992,29,Старше 27
12019383,Male,Россия,Челябинск,1992,29,Старше 27
12010528,Male,Россия,Саратов,1990,31,Старше 27
11953877,Male,Россия,Санкт-Петербург,1996,25,23-27
11941698,Male,Россия,Нижний Новгород,1989,32,Старше 27
11928902,Male,Россия,Санкт-Петербург,1996,25,23-27
11914099,Male,Россия,Москва,1994,27,23-27
11908419,Male,Россия,Рязань,1987,34,Старше 27
11881525,Male,Россия,Москва,1993,28,Старше 27
11870650,Male,Россия,Ростов-на-Дону,1992,29,Старше 27
11845321,Male,Россия,Новосибирск,1984,37,Старше 27
11843962,Male,Россия,Улан-Удэ,1988,33,Старше 27
11820138,Male,Россия,Черноголовка,1994,27,23-27
11792085,Male,Россия,Москва,1989,32,Старше 27
11783348,Male,Россия,Обнинск,1988,33,Старше 27
11772710,Male,Россия,Москва,1995,26,23-27
11763298,Male,Россия,Санкт-Петербург,1993,28,Старше 27
11743438,Male,Россия,Unfiled_city,1986,35,Старше 27
11705853,Male,Россия,Москва,1999,22,18-22
11704084,Male,Россия,Санкт-Петербург,1994,27,23-27
11699856,Male,Россия,Москва,1992,29,Старше 27
11686758,Male,Россия,Ростов-на-Дону,1993,28,Старше 27
11684446,Male,Россия,Москва,1996,25,23-27
11681755,Male,Россия,Казань,1997,24,23-27
11664144,Male,Россия,Санкт-Петербург,1993,28,Старше 27
11652265,Male,Россия,Петрозаводск,1991,30,Старше 27
11643553,Male,Россия,Москва,1994,27,23-27
11617427,Male,Россия,Омск,1992,29,Старше 27
11599277,Male,Россия,Люберцы,1994,27,23-27
11594256,Male,Россия,Новосибирск,1994,27,23-27
11550220,Male,Россия,Киров,1990,31,Старше 27
11544596,Male,Россия,Петрозаводск,1989,32,Старше 27
11539615,Male,Россия,Ростов-на-Дону,1991,30,Старше 27
11491323,Male,Россия,Нижний Новгород,1994,27,23-27
11489909,Male,Россия,Ставрополь,1987,34,Старше 27
11487786,Male,Россия,Обнинск,1990,31,Старше 27
11484760,Male,Россия,Unfiled_city,1991,30,Старше 27
11466386,Male,Россия,Котлас,1984,37,Старше 27
11456141,Male,Россия,Вологда,1990,31,Старше 27
11434557,Male,Россия,Великий Новгород,1984,37,Старше 27
11417993,Male,Россия,Санкт-Петербург,1992,29,Старше 27
11404958,Male,Россия,Лосево,1986,35,Старше 27
11372918,Male,Россия,Омск,1990,31,Старше 27
11322465,Male,Россия,Томск,1981,40,Старше 27
11271711,Male,Россия,Липецк,1990,31,Старше 27
11226017,Male,Россия,Москва,1990,31,Старше 27
11203942,Male,Россия,Москва,1998,23,23-27
11100451,Male,Россия,Unfiled_city,1992,29,Старше 27
11092064,Male,Россия,Севастополь,1987,34,Старше 27
11071027,Male,Россия,Псков,2000,21,18-22
11053932,Male,Россия,Москва,1995,26,23-27
11048681,Male,Россия,Санкт-Петербург,1997,24,23-27
11043655,Male,Россия,Новокузнецк,1990,31,Старше 27
11031387,Male,Россия,Москва,1987,34,Старше 27
11020146,Male,Россия,Ижевск,1991,30,Старше 27
11018726,Male,Россия,Каменск-Уральский,1985,36,Старше 27
11014727,Male,Россия,Санкт-Петербург,1990,31,Старше 27
11007495,Male,Россия,Красноярск,1987,34,Старше 27
10926936,Male,Россия,Пермь,1990,31,Старше 27
10906125,Male,Россия,Воронеж,1991,30,Старше 27
10902173,Male,Россия,Санкт-Петербург,1993,28,Старше 27
10893379,Male,Россия,Санкт-Петербург,1996,25,23-27
10883279,Male,Россия,Санкт-Петербург,1985,36,Старше 27
10880786,Male,Россия,Москва,1994,27,23-27
10871633,Male,Россия,Тюмень,1989,32,Старше 27
10869681,Male,Россия,Воронеж,1988,33,Старше 27
10868306,Male,Россия,Ярославль,1992,29,Старше 27
10823122,Male,Россия,Мурманск,1991,30,Старше 27
10802973,Male,Россия,Нижний Новгород,1994,27,23-27
10767205,Male,Россия,Петрозаводск,1987,34,Старше 27
10718520,Male,Россия,Архангельск,1993,28,Старше 27
10685430,Male,Россия,Норильск,1983,38,Старше 27
10670026,Male,Россия,Ростов-на-Дону,1991,30,Старше 27
10624168,Male,Россия,Ростов-на-Дону,1988,33,Старше 27
10614498,Male,Россия,Москва,1993,28,Старше 27
10604082,Male,Россия,Серпухов,1991,30,Старше 27
10580609,Male,Россия,Новосибирск,1990,31,Старше 27
10565954,Male,Россия,Екатеринбург,1990,31,Старше 27
10564034,Male,Россия,Москва,1997,24,23-27
10519200,Male,Россия,Москва,1985,36,Старше 27
10511662,Male,Россия,Москва,1993,28,Старше 27
10482660,Male,Россия,Санкт-Петербург,1997,24,23-27
10465927,Male,Россия,Озерск,1990,31,Старше 27
10458109,Male,Россия,Москва,1994,27,23-27
10448652,Male,Россия,Санкт-Петербург,1992,29,Старше 27
10415519,Male,Россия,Нижний Новгород,1990,31,Старше 27
10384806,Male,Россия,Москва,1991,30,Старше 27
10375699,Male,Россия,Санкт-Петербург,1995,26,23-27
10373584,Female,Россия,Владивосток,1990,31,Старше 27
10341325,Male,Россия,Жуковский,1994,27,23-27
10262218,Male,Россия,Брянск,1983,38,Старше 27
10246953,Male,Россия,Ульяновск,1988,33,Старше 27
10230838,Male,Россия,Москва,1994,27,23-27
10222646,Male,Россия,Одинцово,1994,27,23-27
10206241,Male,Россия,Санкт-Петербург,1992,29,Старше 27
10193897,Male,Россия,Нижневартовск,1987,34,Старше 27
10187740,Male,Россия,Санкт-Петербург,1992,29,Старше 27
10155338,Male,Россия,Казань,1990,31,Старше 27
10155337,Male,Россия,Санкт-Петербург,1993,28,Старше 27
10149304,Male,Россия,Москва,1989,32,Старше 27
10144670,Male,Россия,Москва,1997,24,23-27
10112306,Male,Россия,Москва,1995,26,23-27
10108850,Male,Россия,Москва,1994,27,23-27
10102744,Male,Россия,Москва,1995,26,23-27
10093753,Male,Россия,Санкт-Петербург,1994,27,23-27
10072166,Male,Россия,Санкт-Петербург,1985,36,Старше 27
10049684,Male,Россия,Москва,1995,26,23-27
10005884,Male,Россия,Москва,1991,30,Старше 27
9954546,Male,Россия,Самара,1989,32,Старше 27
9941500,Male,Россия,Unfiled_city,1991,30,Старше 27
9940972,Male,Россия,Нижний Новгород,1980,41,Старше 27
9894010,Male,Россия,Ковров,1989,32,Старше 27
9829279,Male,Россия,Нижний Новгород,1987,34,Старше 27
9809369,Male,Россия,Нахабино,1989,32,Старше 27
9758307,Male,Россия,Санкт-Петербург,1997,24,23-27
9730183,Male,Россия,Москва,1994,27,23-27
9723149,Male,Россия,Чита,1987,34,Старше 27
9602796,Male,Россия,Санкт-Петербург,1995,26,23-27
9569876,Male,Россия,Москва,1985,36,Старше 27
9543529,Male,Россия,Москва,1995,26,23-27
9523041,Male,Россия,Махачкала,1990,31,Старше 27
9495228,Male,Россия,Санкт-Петербург,1985,36,Старше 27
9489812,Male,Россия,Краснодар,1989,32,Старше 27
9458862,Male,Россия,Москва,1993,28,Старше 27
9430996,Male,Россия,Тула,1992,29,Старше 27
9399819,Male,Россия,Омск,1982,39,Старше 27
9394452,Male,Россия,Санкт-Петербург,1997,24,23-27
9390835,Male,Россия,Санкт-Петербург,1987,34,Старше 27
9381484,Male,Россия,Санкт-Петербург,1993,28,Старше 27
9372835,Male,Россия,Тула,1988,33,Старше 27
9362932,Male,Россия,Unfiled_city,1992,29,Старше 27
9354368,Male,Россия,Мурино,1994,27,23-27
9339800,Male,Россия,Москва,1992,29,Старше 27
9321398,Male,Россия,Москва,1994,27,23-27
9316766,Male,Россия,Москва,1993,28,Старше 27
9303977,Male,Россия,Ростов-на-Дону,1988,33,Старше 27
9268177,Male,Россия,Москва,1992,29,Старше 27
9267401,Male,Россия,Санкт-Петербург,1990,31,Старше 27
9263905,Male,Россия,Unfiled_city,1990,31,Старше 27
9237772,Male,Россия,Unfiled_city,1997,24,23-27
9182545,Male,Россия,Москва,1995,26,23-27
9171338,Male,Россия,Ростов-на-Дону,1991,30,Старше 27
9158284,Male,Россия,Новосибирск,1992,29,Старше 27
9151786,Male,Россия,Иваново,1993,28,Старше 27
9150351,Male,Россия,Челябинск,1993,28,Старше 27
9139094,Male,Россия,Нижний Новгород,1983,38,Старше 27
9112700,Male,Россия,Москва,1995,26,23-27
9111326,Male,Россия,Москва,1995,26,23-27
9107159,Male,Россия,Казань,1993,28,Старше 27
9104349,Male,Россия,Рязань,1993,28,Старше 27
9089382,Male,Россия,Ростов-на-Дону,1991,30,Старше 27
9086111,Male,Россия,Железнодорожный (Балашиха),1990,31,Старше 27
9077757,Male,Россия,Красноярск,1986,35,Старше 27
9050826,Male,Россия,Москва,1987,34,Старше 27
9048271,Male,Россия,Королёв,1994,27,23-27
9020003,Male,Россия,Санкт-Петербург,1994,27,23-27
8992925,Male,Россия,Фрязино,1985,36,Старше 27
8985198,Male,Россия,Тюмень,1988,33,Старше 27
8959608,Male,Россия,Москва,1992,29,Старше 27
8945390,Male,Россия,Новосибирск,1983,38,Старше 27
8911939,Male,Россия,Москва,1994,27,23-27
8875932,Male,Россия,Ставрополь,1988,33,Старше 27
8859586,Male,Россия,Москва,1990,31,Старше 27
8854905,Male,Россия,Санкт-Петербург,1984,37,Старше 27
8835148,Male,Россия,Челябинск,1986,35,Старше 27
8823154,Male,Россия,Москва,1992,29,Старше 27
8809074,Male,Россия,Москва,1989,32,Старше 27
8787490,Male,Россия,Москва,1991,30,Старше 27
8752858,Male,Россия,Санкт-Петербург,1989,32,Старше 27
8717300,Male,Россия,Unfiled_city,1994,27,23-27
8704179,Male,Россия,Екатеринбург,1993,28,Старше 27
8664850,Male,Россия,Москва,1993,28,Старше 27
8656379,Male,Россия,Омск,1991,30,Старше 27
8652261,Female,Россия,Москва,1992,29,Старше 27
